code,definition,display,
21.05,Control of epistaxis by (transantral) ligation of the maxillary artery,Max art lig for epistax,
21.06,Control of epistaxis by ligation of the external carotid artery,Ext carot art lig-epist,
21.07,Control of epistaxis by excision of nasal mucosa and skin grafting of septum and lateral nasal wall,Nasal sept grft-epistax,
21.09,Control of epistaxis by other means,Epistaxis control NEC,
21.1,Incision of nose,Incision of nose,
21.21,Rhinoscopy,Rhinoscopy,
21.22,Biopsy of nose,Nasal biopsy,
21.29,Other diagnostic procedures on nose,Nasal dx proc NEC,
21.30,"Excision or destruction of lesion of nose, not otherwise specified",Nasal lesion excis NOS,
21.31,Local excision or destruction of intranasal lesion,Intranas les destruction,
21.32,Local excision or destruction of other lesion of nose,Nasal les destruct NEC,
21.4,Resection of nose,Resection of nose,
21.5,Submucous resection of nasal septum,Submuc nasal sept resect,
21.61,Turbinectomy by diathermy or cryosurgery,Diather/cryo turbinectom,
21.62,Fracture of the turbinates,Turbinate fracture,
21.69,Other turbinectomy,Turbinectomy NEC,
21.71,Closed reduction of nasal fracture,Clos reduction nasal fx,
21.72,Open reduction of nasal fracture,Open reduction nasal fx,
21.81,Suture of laceration of nose,Nasal laceration suture,
21.82,Closure of nasal fistula,Nasal fistula closure,
21.83,Total nasal reconstruction,Tot nasal reconstruction,
21.84,Revision rhinoplasty,Revision rhinoplasty,
21.85,Augmentation rhinoplasty,Augmentation rhinoplasty,
21.86,Limited rhinoplasty,Limited rhinoplasty,
21.87,Other rhinoplasty,Rhinoplasty NEC,
21.88,Other septoplasty,Septoplasty NEC,
21.89,Other repair and plastic operations on nose,Nasal repair NEC,
21.91,Lysis of adhesions of nose,Lysis of nasal adhesions,
21.99,Other operations on nose,Nasal operation NEC,
22.00,"Aspiration and lavage of nasal sinus, not otherwise specified",Sinus aspirat/lavage NOS,
22.01,Puncture of nasal sinus for aspiration or lavage,Sinus punct for lavage,
22.02,Aspiration or lavage of nasal sinus through natural ostium,Sinus lavage thru ostium,
22.11,Closed [endoscopic] [needle] biopsy of nasal sinus,Closed nasal sinus bx,
22.12,Open biopsy of nasal sinus,Open biopsy nasal sinus,
22.19,Other diagnostic procedures on nasal sinuses,Nasal sinus dx proc NEC,
22.2,Intranasal antrotomy,Intranasal antrotomy,
22.31,Radical maxillary antrotomy,Radical maxillary antrot,
22.39,Other external maxillary antrotomy,Ext maxillary antrot NEC,
22.41,Frontal sinusotomy,Frontal sinusotomy,
22.42,Frontal sinusectomy,Frontal sinusectomy,
22.50,"Sinusotomy, not otherwise specified",Sinusotomy NOS,
22.51,Ethmoidotomy,Ethmoidotomy,
22.52,Sphenoidotomy,Sphenoidotomy,
22.53,Incision of multiple nasal sinuses,Multiple sinus incision,
22.60,"Sinusectomy, not otherwise specified",Sinusectomy NOS,
22.61,Excision of lesion of maxillary sinus with Caldwell-Luc approach,C-luc exc max sinus les,
22.62,Excision of lesion of maxillary sinus with other approach,Exc max sinus lesion NEC,
22.63,Ethmoidectomy,Ethmoidectomy,
22.64,Sphenoidectomy,Sphenoidectomy,
22.71,Closure of nasal sinus fistula,Nasal sinus fistula clos,
22.79,Other repair of nasal sinus,Nasal sinus repair NEC,
22.9,Other operations on nasal sinuses,Other nasal sinus ops,
23.01,Extraction of deciduous tooth,Deciduous tooth extract,
23.09,Extraction of other tooth,Tooth extraction NEC,
23.11,Removal of residual root,Residual root removal,
23.19,Other surgical extraction of tooth,Surg tooth extract NEC,
23.2,Restoration of tooth by filling,Tooth restor by filling,
23.3,Restoration of tooth by inlay,Tooth restorat by inlay,
23.41,Application of crown,Crown application,
23.42,Insertion of fixed bridge,Fixed bridge insertion,
23.43,Insertion of removable bridge,Insert removable bridge,
23.49,Other dental restoration,Dental restoration NEC,
23.5,Implantation of tooth,Tooth implantation,
23.6,Prosthetic dental implant,Prosthet dental implant,
23.70,"Root canal, not otherwise specified",Root canal NOS,
23.71,Root canal therapy with irrigation,Root canal w irrigation,
23.72,Root canal therapy with apicoectomy,Root canal w apicoectomy,
23.73,Apicoectomy,Apicoectomy,
24.0,Incision of gum or alveolar bone,Gum or alveolar incision,
24.11,Biopsy of gum,Gum biopsy,
24.12,Biopsy of alveolus,Alveolus biopsy,
24.19,"Other diagnostic procedures on teeth, gums, and alveoli",Tooth & gum dx proc NEC,
24.2,Gingivoplasty,Gingivoplasty,
24.31,Excision of lesion or tissue of gum,Gum lesion excision,
24.32,Suture of laceration of gum,Suture of gum laceration,
24.39,Other operations on gum,Gum operation NEC,
24.4,Excision of dental lesion of jaw,Exc of dental les of jaw,
24.5,Alveoloplasty,Alveoloplasty,
24.6,Exposure of tooth,Exposure of tooth,
24.7,Application of orthodontic appliance,Orthodon applianc applic,
24.8,Other orthodontic operation,Other orthodontic operat,
24.91,Extension or deepening of buccolabial or lingual sulcus,Exten buccolabial/sulcus,
24.99,Other dental operations,Dental operation NEC,
25.01,Closed [needle] biopsy of tongue,Closed biopsy of tongue,
25.02,Open biopsy of tongue,Open biopsy of tongue,
25.09,Other diagnostic procedures on tongue,Tongue dx procedure NEC,
25.1,Excision or destruction of lesion or tissue of tongue,Destruction tongue les,
25.2,Partial glossectomy,Partial glossectomy,
25.3,Complete glossectomy,Complete glossectomy,
25.4,Radical glossectomy,Radical glossectomy,
25.51,Suture of laceration of tongue,Suture of tongue lacerat,
25.59,Other repair and plastic operations on tongue,Repair of tongue NEC,
25.91,Lingual frenotomy,Lingual frenotomy,
25.92,Lingual frenectomy,Lingual frenectomy,
25.93,Lysis of adhesions of tongue,Lysis of tongue adhesion,
25.94,Other glossotomy,Other glossotomy,
25.99,Other operations on tongue,Tongue operation NEC,
26.0,Incision of salivary gland or duct,Incis salivary glnd/duct,
26.11,Closed [needle] biopsy of salivary gland or duct,Clos bx saliv gland/duct,
26.12,Open biopsy of salivary gland or duct,Open bx saliv gland/duct,
26.19,Other diagnostic procedures on salivary glands and ducts,Saliv glnd dx proc NEC,
26.21,Marsupialization of salivary gland cyst,Salivary cyst marsupial,
26.29,Other excision of salivary gland lesion,Saliv lesion excis NEC,
26.30,"Sialoadenectomy, not otherwise specified",Sialoadenectomy NOS,
26.31,Partial sialoadenectomy,Partial sialoadenectomy,
26.32,Complete sialoadenectomy,Complete sialoadenectomy,
26.41,Suture of laceration of salivary gland,Suture of saliv glnd lac,
26.42,Closure of salivary fistula,Salivary fistula closure,
26.49,Other repair and plastic operations on salivary gland or duct,Salivary repair NEC,
26.91,Probing of salivary duct,Salivary duct probing,
26.99,Other operations on salivary gland or duct,Salivary operation NEC,
27.0,Drainage of face and floor of mouth,Drain face & mouth floor,
27.1,Incision of palate,Incision of palate,
27.21,Biopsy of bony palate,Bony palate biopsy,
27.22,Biopsy of uvula and soft palate,Uvula and soft palate bx,
27.23,Biopsy of lip,Lip biopsy,
27.24,"Biopsy of mouth, unspecified structure",Mouth biopsy NOS,
27.29,Other diagnostic procedures on oral cavity,Oral cavity dx proc NEC,
27.31,Local excision or destruction of lesion or tissue of bony palate,Loc exc bony palate les,
27.32,Wide excision or destruction of lesion or tissue of bony palate,Wide exc bony palate les,
27.41,Labial frenectomy,Labial frenumectomy,
27.42,Wide excision of lesion of lip,Wide excision of lip les,
27.43,Other excision of lesion or tissue of lip,Excision of lip les NEC,
27.49,Other excision of mouth,Excision of mouth NEC,
27.51,Suture of laceration of lip,Suture of lip laceration,
27.52,Suture of laceration of other part of mouth,Suture of mouth lac NEC,
27.53,Closure of fistula of mouth,Closure of mouth fistula,
27.54,Repair of cleft lip,Repair of cleft lip,
27.55,Full-thickness skin graft to lip and mouth,Full-thick grft to mouth,
27.56,Other skin graft to lip and mouth,Skin graft to mouth NEC,
27.57,Attachment of pedicle or flap graft to lip and mouth,Pedicle attach to mouth,
27.59,Other plastic repair of mouth,Mouth repair NEC,
27.61,Suture of laceration of palate,Suture of palate lacerat,
27.62,Correction of cleft palate,Cleft palate correction,
27.63,Revision of cleft palate repair,Revis cleft palat repair,
27.64,Insertion of palatal implant,Insert palatal implant,
27.69,Other plastic repair of palate,Oth plastic repair palat,
27.71,Incision of uvula,Incision of uvula,
27.72,Excision of uvula,Excision of uvula,
27.73,Repair of uvula,Repair of uvula,
27.79,Other operations on uvula,Other uvula operations,
27.91,Labial frenotomy,Labial frenotomy,
27.92,"Incision of mouth, unspecified structure",Mouth incision NOS,
27.99,Other operations on oral cavity,Oral cavity ops NEC,
28.0,Incision and drainage of tonsil and peritonsillar structures,Peritonsillar i & d,
28.11,Biopsy of tonsils and adenoids,Tonsil&adenoid biopsy,
28.19,Other diagnostic procedures on tonsils and adenoids,Tonsil&adenoid dx op NEC,
28.2,Tonsillectomy without adenoidectomy,Tonsillectomy,
28.3,Tonsillectomy with adenoidectomy,Tonsillectomy/adenoidec,
28.4,Excision of tonsil tag,Excision of tonsil tag,
28.5,Excision of lingual tonsil,Excision lingual tonsil,
28.6,Adenoidectomy without tonsillectomy,Adenoidectomy,
28.7,Control of hemorrhage after tonsillectomy and adenoidectomy,Hemorr contrl post T & A,
28.91,Removal of foreign body from tonsil and adenoid by incision,Incis to remov tonsil FB,
28.92,Excision of lesion of tonsil and adenoid,Excis tonsil/adenoid les,
28.99,Other operations on tonsils and adenoids,Tonsil/adenoid ops NEC,
29.0,Pharyngotomy,Pharyngotomy,
29.11,Pharyngoscopy,Pharyngoscopy,
29.12,Pharyngeal biopsy,Pharyngeal biopsy,
29.19,Other diagnostic procedures on pharynx,Pharyngeal dx proc NEC,
29.2,Excision of branchial cleft cyst or vestige,Exc branchial cleft cyst,
29.31,Cricopharyngeal myotomy,Cricopharyngeal myotomy,
29.32,Pharyngeal diverticulectomy,Pharyngeal diverticulec,
29.33,Pharyngectomy (partial),Pharyngectomy,
29.39,Other excision or destruction of lesion or tissue of pharynx,Excis/destr les phar NEC,
29.4,Plastic operation on pharynx,Plastic op on pharynx,
29.51,Suture of laceration of pharynx,Suture of pharyngeal lac,
29.52,Closure of branchial cleft fistula,Clos branch cleft fistul,
29.53,Closure of other fistula of pharynx,Clos pharynx fistula NEC,
29.54,Lysis of pharyngeal adhesions,Lysis pharyngeal adhes,
29.59,Other repair of pharynx,Pharyngeal repair NEC,
29.91,Dilation of pharynx,Pharyngeal dilation,
29.92,Division of glossopharyngeal nerve,Divis glossopharyng nerv,
29.99,Other operations on pharynx,Pharyngeal operation NEC,
30.01,Marsupialization of laryngeal cyst,Larynx cyst marsupializ,
30.09,Other excision or destruction of lesion or tissue of larynx,Destruct larynx les NEC,
30.1,Hemilaryngectomy,Hemilaryngectomy,
30.21,Epiglottidectomy,Epiglottidectomy,
30.22,Vocal cordectomy,Vocal cordectomy,
30.29,Other partial laryngectomy,Other part laryngectomy,
30.3,Complete laryngectomy,Complete laryngectomy,
30.4,Radical laryngectomy,Radical laryngectomy,
31.0,Injection of larynx,Injection of larynx,
31.1,Temporary tracheostomy,Temporary tracheostomy,
31.21,Mediastinal tracheostomy,Mediastinal tracheostomy,
31.29,Other permanent tracheostomy,Other perm tracheostomy,
31.3,Other incision of larynx or trachea,Incis larynx trachea NEC,
31.41,Tracheoscopy through artificial stoma,Tracheoscopy thru stoma,
31.42,Laryngoscopy and other tracheoscopy,Larygnoscopy/tracheoscop,
31.43,Closed [endoscopic] biopsy of larynx,Closed biopsy larynx,
31.44,Closed [endoscopic] biopsy of trachea,Closed biopsy trachea,
31.45,Open biopsy of larynx or trachea,Opn bx larynx or trachea,
31.48,Other diagnostic procedures on larynx,Oth larynx dx procedure,
31.49,Other diagnostic procedures on trachea,Oth trachea dx procedure,
31.5,Local excision or destruction of lesion or tissue of trachea,Local destruc trach les,
31.61,Suture of laceration of larynx,Suture of laryngeal lac,
31.62,Closure of fistula of larynx,Laryngeal fistula clos,
31.63,Revision of laryngostomy,Laryngostomy revision,
31.64,Repair of laryngeal fracture,Laryngeal fx repair,
31.69,Other repair of larynx,Other laryngeal repair,
31.71,Suture of laceration of trachea,Suture of tracheal lacer,
31.72,Closure of external fistula of trachea,Closure of tracheostomy,
31.73,Closure of other fistula of trachea,Trachea fistula clos NEC,
31.74,Revision of tracheostomy,Revision of tracheostomy,
31.75,Reconstruction of trachea and construction of artificial larynx,Tracheal reconstruction,
31.79,Other repair and plastic operations on trachea,Other tracheal repair,
31.91,Division of laryngeal nerve,Laryngeal nerv division,
31.92,Lysis of adhesions of trachea or larynx,Lysis trach/larynx adhes,
31.93,Replacement of laryngeal or tracheal stent,Replace trac/laryn stent,
31.94,Injection of locally-acting therapeutic substance into trachea,Tracheal injection,
31.95,Tracheoesophageal fistulization,Tracheoesoph fistulizat,
31.98,Other operations on larynx,Oth laryngeal operation,
31.99,Other operations on trachea,Other tracheal operation,
32.01,Endoscopic excision or destruction of lesion or tissue of bronchus,Endosc destruc bronc les,
32.09,Other local excision or destruction of lesion or tissue of bronchus,Other destruc bronc les,
32.1,Other excision of bronchus,Other bronchial excision,
32.20,Thoracoscopic excision of lesion or tissue of lung,Thorac exc lung lesion,
32.21,Plication of emphysematous bleb,Emphysema bleb plication,
32.22,Lung volume reduction surgery,Lung vol reduction surg,
32.23,Open ablation of lung lesion or tissue,Open abltn lung les/tiss,
32.24,Percutaneous ablation of lung lesion or tissue,Perc abltn lung les/tiss,
32.25,Thoracoscopic ablation of lung lesion or tissue,Thor abltn lung les/tiss,
32.26,Other and unspecified ablation of lung lesion or tissue,Abltn lung tiss NEC/NOS,
32.27,"Bronchoscopic bronchial thermoplasty, ablation of airway smooth muscle","Brnc thrmplsty,ablt mscl",
32.28,Endoscopic excision or destruction of lesion or tissue of lung,Endosc destruc lung les,
32.29,Other local excision or destruction of lesion or tissue of lung,Destroy loc lung les NEC,
32.30,Thoracoscopic segmental resection of lung,Thorac seg lung resect,
32.39,Other and unspecified segmental resection of lung,Oth seg lung resect NOS,
32.41,Thoracoscopic lobectomy of lung,Thorac lobectomy lung,
32.49,Other lobectomy of lung,Lobectomy of lung NEC,
32.50,Thoracoscopic pneumonectomy,Thoracospc pneumonectomy,
32.59,Other and unspecified pneumonectomy,Other pneumonectomy NOS,
32.6,Radical dissection of thoracic structures,Rad dissec thorac struct,
32.9,Other excision of lung,Other excision of lung,
33.0,Incision of bronchus,Incision of bronchus,
33.1,Incision of lung,Incision of lung,
33.20,Thoracoscopic lung biopsy,Thoracoscopc lung biopsy,
33.21,Bronchoscopy through artificial stoma,Bronchoscopy thru stoma,
33.22,Fiber-optic bronchoscopy,Fiber-optic bronchoscopy,
33.23,Other bronchoscopy,Other bronchoscopy,
33.24,Closed [endoscopic] biopsy of bronchus,Closed bronchial biopsy,
33.25,Open biopsy of bronchus,Open bronchial biopsy,
33.26,Closed [percutaneous] [needle] biopsy of lung,Closed lung biopsy,
33.27,Closed endoscopic biopsy of lung,Clos endoscopic lung bx,
33.28,Open biopsy of lung,Open lung biopsy,
33.29,Other diagnostic procedures on lung or bronchus,Bronch/lung dx proc NEC,
33.31,Destruction of phrenic nerve for collapse of lung,Destr phren-lung collaps,
33.32,Artificial pneumothorax for collapse of lung,Pnemothorax-lung collaps,
33.33,Pneumoperitoneum for collapse of lung,Pneumoperit-lung collaps,
33.34,Thoracoplasty,Thoracoplasty,
33.39,Other surgical collapse of lung,Surg collaps of lung NEC,
33.41,Suture of laceration of bronchus,Bronchial lacerat suture,
33.42,Closure of bronchial fistula,Bronchial fistula clos,
33.43,Closure of laceration of lung,Lung laceration closure,
33.48,Other repair and plastic operations on bronchus,Bronchial repair NEC,
33.49,Other repair and plastic operations on lung,Lung repair NEC,
33.50,"Lung transplantation, not otherwise specified",Lung transplant NOS,
33.51,Unilateral lung transplantation,Unilat lung transplant,
33.52,Bilateral lung transplantation,Bilat lung transplant,
33.6,Combined heart-lung transplantation,Comb heart/lung transpla,
33.71,"Endoscopic insertion or replacement of bronchial valve(s), single lobe","Endo ins/re bron val,one",
33.72,Endoscopic pulmonary airway flow measurement,Endo pulm arwy flow msmt,
33.73,"Endoscopic insertion or replacement of bronchial valve(s), multiple lobes","Endo ins/re brnc val,mul",
33.78,Endoscopic removal of bronchial device(s) or substances,Endo rem bronch devc/sub,
33.79,Endoscopic insertion of other bronchial device or substances,Endo insrt bronc def/sub,
33.91,Bronchial dilation,Bronchial dilation,
33.92,Ligation of bronchus,Bronchial ligation,
33.93,Puncture of lung,Puncture of lung,
33.98,Other operations on bronchus,Bronchial operation NEC,
33.99,Other operations on lung,Lung operation NEC,
34.01,Incision of chest wall,Incision of chest wall,
34.02,Exploratory thoracotomy,Exploratory thoracotomy,
34.03,Reopening of recent thoracotomy site,Reopen thoracotomy site,
34.04,Insertion of intercostal catheter for drainage,Insert intercostal cath,
34.05,Creation of pleuroperitoneal shunt,PlEuroperitoneal shunt,
34.06,Thoracoscopic drainage of pleural cavity,Thorac drain pleurl cav,
34.09,Other incision of pleura,Other pleural incision,
34.1,Incision of mediastinum,Incision of mediastinum,
34.20,Thoracoscopic pleural biopsy,Thoracoscopic pleural bx,
34.21,Transpleural thoracoscopy,Transpleura thoracoscopy,
34.22,Mediastinoscopy,Mediastinoscopy,
34.23,Biopsy of chest wall,Chest wall biopsy,
34.24,Other pleural biopsy,Pleural biopsy NEC,
34.25,Closed [percutaneous] [needle] biopsy of mediastinum,Clos mediastinal biopsy,
34.26,Open mediastinal biopsy,Open mediastinal biopsy,
34.27,Biopsy of diaphragm,Biopsy of diaphragm,
34.28,"Other diagnostic procedures on chest wall, pleura, and diaphragm",Dx procedure thorax NEC,
34.29,Other diagnostic procedures on mediastinum,Dx proc mediastinum NEC,
34.3,Excision or destruction of lesion or tissue of mediastinum,Destruct mediastin les,
34.4,Excision or destruction of lesion of chest wall,Destruct chest wall les,
34.51,Decortication of lung,Decortication of lung,
34.52,Thoracoscopic decortication of lung,Thoracoscopc decort lung,
34.59,Other excision of pleura,Other pleural excision,
34.6,Scarification of pleura,Scarification of pleura,
34.71,Suture of laceration of chest wall,Suture chest wall lacer,
34.72,Closure of thoracostomy,Thoracostomy closure,
34.73,Closure of other fistula of thorax,Clos thoracic fistul NEC,
34.74,Repair of pectus deformity,Pectus deformity repair,
34.79,Other repair of chest wall,Other chest wall repair,
34.81,Excision of lesion or tissue of diaphragm,Excise diaphragm lesion,
34.82,Suture of laceration of diaphragm,Suture diaphragm lacerat,
34.83,Closure of fistula of diaphragm,Close diaphragm fistula,
34.84,Other repair of diaphragm,Other diaphragm repair,
34.85,Implantation of diaphragmatic pacemaker,Implant diaphra pacemake,
34.89,Other operations on diaphragm,Diaphragm operation NEC,
34.91,Thoracentesis,Thoracentesis,
34.92,Injection into thoracic cavity,Inject into thorax cavit,
34.93,Repair of pleura,Repair of pleura,
34.99,Other operations on thorax,Thoracic operation NEC,
35.00,"Closed heart valvotomy, unspecified valve",Closed valvotomy NOS,
35.01,"Closed heart valvotomy, aortic valve",Closed aortic valvotomy,
35.02,"Closed heart valvotomy, mitral valve",Closed mitral valvotomy,
35.03,"Closed heart valvotomy, pulmonary valve",Closed pulmon valvotomy,
35.04,"Closed heart valvotomy, tricuspid valve",Closed tricusp valvotomy,
35.05,Endovascular replacement of aortic valve,Endovas repl aortc valve,
35.06,Transapical replacement of aortic valve,Trnsapcl rep aortc valve,
35.07,Endovascular replacement of pulmonary valve,Endovas repl pulm valve,
35.08,Transapical replacement of pulmonary valve,Trnsapcl repl pulm valve,
35.09,Endovascular replacement of unspecified heart valve,Endovas repl uns hrt vlv,
35.10,"Open heart valvuloplasty without replacement, unspecified valve",Open valvuloplasty NOS,
35.11,Open heart valvuloplasty of aortic valve without replacement,Opn aortic valvuloplasty,
35.12,Open heart valvuloplasty of mitral valve without replacement,Opn mitral valvuloplasty,
35.13,Open heart valvuloplasty of pulmonary valve without replacement,Opn pulmon valvuloplasty,
35.14,Open heart valvuloplasty of tricuspid valve without replacement,Opn tricus valvuloplasty,
35.20,Open and other replacement of unspecified heart valve,Opn/oth rep hrt vlv NOS,
35.21,Open and other replacement of aortic valve with tissue graft,Opn/oth rep aort vlv-tis,
35.22,Open and other replacement of aortic valve,Opn/oth rep aortic valve,
35.23,Open and other replacement of mitral valve with tissue graft,Opn/oth rep mtrl vlv-tis,
35.24,Open and other replacement of mitral valve,Opn/oth rep mitral valve,
35.25,Open and other replacement of pulmonary valve with tissue graft,Opn/oth rep pulm vlv-tis,
35.26,Open and other replacement of pulmonary valve,Opn/oth repl pul valve,
35.27,Open and other replacement of tricuspid valve with tissue graft,Opn/oth rep tcspd vlv-ts,
35.28,Open and other replacement of tricuspid valve,Opn/oth repl tcspd valve,
35.31,Operations on papillary muscle,Papillary muscle ops,
35.32,Operations on chordae tendineae,Chordae tendineae ops,
35.33,Annuloplasty,Annuloplasty,
35.34,Infundibulectomy,Infundibulectomy,
35.35,Operations on trabeculae carneae cordis,Trabecul carneae cord op,
35.39,Operations on other structures adjacent to valves of heart,Tiss adj to valv ops NEC,
35.41,Enlargement of existing atrial septal defect,Enlarge existing sep def,
35.42,Creation of septal defect in heart,Create septal defect,
35.50,Repair of unspecified septal defect of heart with prosthesis,Prosth rep hrt septa NOS,
35.51,"Repair of atrial septal defect with prosthesis, open technique",Pros rep atrial def-opn,
35.52,"Repair of atrial septal defect with prosthesis, closed technique",Pros repair atria def-cl,
35.53,"Repair of ventricular septal defect with prosthesis, open technique",Pros rep ventric def-opn,
35.54,Repair of endocardial cushion defect with prosthesis,Pros rep endocar cushion,
35.55,"Repair of ventricular septal defect with prosthesis, closed technique",Pros rep ventrc def-clos,
35.60,Repair of unspecified septal defect of heart with tissue graft,Grft repair hrt sept NOS,
35.61,Repair of atrial septal defect with tissue graft,Graft repair atrial def,
35.62,Repair of ventricular septal defect with tissue graft,Graft repair ventric def,
35.63,Repair of endocardial cushion defect with tissue graft,Grft rep endocar cushion,
35.70,Other and unspecified repair of unspecified septal defect of heart,Heart septa repair NOS,
35.71,Other and unspecified repair of atrial septal defect,Atria septa def rep NEC,
35.72,Other and unspecified repair of ventricular septal defect,Ventr septa def rep NEC,
35.73,Other and unspecified repair of endocardial cushion defect,Endocar cushion rep NEC,
35.81,Total repair of tetralogy of fallot,Tot repair tetral fallot,
35.82,Total repair of total anomalous pulmonary venous connection,Total repair of tapvc,
35.83,Total repair of truncus arteriosus,Tot rep truncus arterios,
35.84,"Total correction of transposition of great vessels, not elsewhere classified",Tot cor transpos grt ves,
35.91,Interatrial transposition of venous return,Interat ven retrn transp,
35.92,Creation of conduit between right ventricle and pulmonary artery,Conduit rt vent-pul art,
35.93,Creation of conduit between left ventricle and aorta,Conduit left ventr-aorta,
35.94,Creation of conduit between atrium and pulmonary artery,Conduit artium-pulm art,
35.95,Revision of corrective procedure on heart,Heart repair revision,
35.96,Percutaneous balloon valvuloplasty,Perc balloon valvuplasty,
35.97,Percutaneous mitral valve repair with implant,Perc mtrl vlv repr w imp,
35.98,Other operations on septa of heart,Other heart septa ops,
35.99,Other operations on valves of heart,Other heart valve ops,
36.03,Open chest coronary artery angioplasty,Open coronry angioplasty,
36.04,Intracoronary artery thrombolytic infusion,Intrcoronry thromb infus,
36.06,Insertion of non-drug-eluting coronary artery stent(s),Ins nondrug elut cor st,
36.07,Insertion of drug-eluting coronary artery stent(s),Ins drug-elut coronry st,
36.09,Other removal of coronary artery obstruction,Rem of cor art obstr NEC,
36.10,"Aortocoronary bypass for heart revascularization, not otherwise specified",Aortocoronary bypass NOS,
36.11,(Aorto)coronary bypass of one coronary artery,Aortocor bypas-1 cor art,
36.12,(Aorto)coronary bypass of two coronary arteries,Aortocor bypas-2 cor art,
36.13,(Aorto)coronary bypass of three coronary arteries,Aortocor bypas-3 cor art,
36.14,(Aorto)coronary bypass of four or more coronary arteries,Aortcor bypas-4+ cor art,
36.15,Single internal mammary-coronary artery bypass,1 int mam-cor art bypass,
36.16,Double internal mammary-coronary artery bypass,2 int mam-cor art bypass,
36.17,Abdominal-coronary artery bypass,Abd-coron artery bypass,
36.19,Other bypass anastomosis for heart revascularization,Hrt revas byps anas NEC,
36.2,Heart revascularization by arterial implant,Arterial implant revasc,
36.31,Open chest transmyocardial revascularization,Open chest trans revasc,
36.32,Other transmyocardial revascularization,Oth transmyo revascular,
36.33,Endoscopic transmyocardial revascularization,Endo transmyo revascular,
36.34,Percutaneous transmyocardial revascularization,Perc transmyo revascular,
36.39,Other heart revascularization,Oth heart revascular,
36.91,Repair of aneurysm of coronary vessel,Coron vess aneurysm rep,
36.99,Other operations on vessels of heart,Heart vessel op NEC,
37.0,Pericardiocentesis,Pericardiocentesis,
37.10,"Incision of heart, not otherwise specified",Incision of heart NOS,
37.11,Cardiotomy,Cardiotomy,
37.12,Pericardiotomy,Pericardiotomy,
37.20,Noninvasive programmed electrical stimulation [NIPS],Noninvas elect stimulatn,
37.21,Right heart cardiac catheterization,Rt heart cardiac cath,
37.22,Left heart cardiac catheterization,Left heart cardiac cath,
37.23,Combined right and left heart cardiac catheterization,Rt/left heart card cath,
37.24,Biopsy of pericardium,Pericardial biopsy,
37.25,Biopsy of heart,Cardiac biopsy,
37.26,Catheter based invasive electrophysiologic testing,Cath base invasv ep test,
37.27,Cardiac mapping,Cardiac mapping,
37.28,Intracardiac echocardiography,Intracardiac echocardio,
37.29,Other diagnostic procedures on heart and pericardium,Hrt/pericar dx proc NEC,
37.31,Pericardiectomy,Pericardiectomy,
37.32,Excision of aneurysm of heart,Heart aneurysm excision,
37.33,"Excision or destruction of other lesion or tissue of heart, open approach",Exc/dest hrt lesion open,
37.34,"Excision or destruction of other lesion or tissue of heart, endovascular approach","Exc/des hrt les,endovasc",
37.35,Partial ventriculectomy,Partial ventriculectomy,
37.36,"Excision, destruction, or exclusion of left atrial appendage (LAA)","Exc,destrct,exclus LAA",
37.37,"Excision or destruction of other lesion or tissue of heart, thoracoscopic approach","Exc/dest hrt les, thrspc",
37.41,Implantation of prosthetic cardiac support device around the heart,Impl cardiac support dev,
37.49,Other repair of heart and pericardium,Heart/pericard repr NEC,
37.51,Heart transplantation,Heart transplantation,
37.52,Implantation of total internal biventricular heart replacement system,Imp tot int bi ht rp sys,
37.53,Replacement or repair of thoracic unit of (total) replacement heart system,Repl/rep thr unt tot hrt,
37.54,Replacement or repair of other implantable component of (total) replacement heart system,Repl/rep oth tot hrt sys,
37.55,Removal of internal biventricular heart replacement system,Rem int bivent hrt sys,
37.60,Implantation or insertion of biventricular external heart assist system,Imp bivn ext hrt ast sys,
37.61,Implant of pulsation balloon,Pulsation balloon implan,
37.62,Insertion of temporary non-implantable extracorporeal circulatory assist device,Insrt non-impl circ dev,
37.63,Repair of heart assist system,Repair heart assist sys,
37.64,Removal of external heart assist system(s) or device(s),Remve ext hrt assist sys,
37.65,Implant of single ventricular (extracorporeal) external heart assist system,Imp vent ext hrt ast sys,
37.66,Insertion of implantable heart assist system,Implantable hrt assist,
37.67,Implantation of cardiomyostimulation system,Imp cardiomyostimul sys,
37.68,Insertion of percutaneous external heart assist device,Percutan hrt assist syst,
37.70,"Initial insertion of lead [electrode], not otherwise specified",Int insert pacemak lead,
37.71,Initial insertion of transvenous lead [electrode] into ventricle,Int insert lead in vent,
37.72,Initial insertion of transvenous leads [electrodes] into atrium and ventricle,Int inser lead atri-vent,
37.73,Initial insertion of transvenous lead [electrode] into atrium,Int inser lead in atrium,
37.74,Insertion or replacement of epicardial lead [electrode] into epicardium,Int or repl lead epicar,
37.75,Revision of lead [electrode],Revision of lead,
37.76,Replacement of transvenous atrial and/or ventricular lead(s) [electrode],Repl tv atri-vent lead,
37.77,Removal of lead(s) [electrode] without replacement,Removal of lead w/o repl,
37.78,Insertion of temporary transvenous pacemaker system,Inser temp pacemaker sys,
37.79,Revision or relocation of cardiac device pocket,Rev/reloc card dev pockt,
37.80,"Insertion of permanent pacemaker, initial or replacement, type of device not specified",Int or repl perm pacemkr,
37.81,"Initial insertion of single-chamber device, not specified as rate responsive","Int insert 1-cham, non",
