code,display,definition
13580004,School dental assistant,School dental assistant (occupation)
11935004,Obstetrician,Obstetrician (occupation)
11911009,Nephrologist,Nephrologist (occupation)
11661002,Neuropathologist,Neuropathologist (occupation)
8724009,Plastic surgeon,Plastic surgeon (occupation)
6868009,Hospital administrator,Hospital administrator (occupation)
6816002,Specialized nurse,Specialized nurse (occupation)
5275007,Auxiliary nurse,Auxiliary nurse (occupation)
4162009,Dental assistant,Dental assistant (occupation)
3842006,Chiropractor,Chiropractor (occupation)
3430008,Radiation therapist,Radiation therapist (occupation)
1421009,Specialized surgeon,Specialized surgeon (occupation)
